Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Sesame Paste Noodles (140g),No Variant,海底捞 · 麻酱粉 (140g),2.5 CAD,2023-11-13T22:43:02Z,2
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Sour Soup Noodles (130g),No Variant,海底捞 · 酸汤粉 (130g),2.5 CAD,2023-11-13T22:48:28Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Sour Soup Beef Noodles (140g),No Variant,海底捞 · 酸汤肥牛粉 (140g),2.5 CAD,2023-11-13T22:58:30Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao ·  Tomato Noodles (122g),No Variant,海底捞 · 番茄粉 (122g),2.5 CAD,2023-11-13T22:46:49Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Spicy&Sour Beef Tripe Noodles (160g),No Variant,海底捞 · 酸辣牛肚粉 (160g),2.5 CAD,2023-11-10T17:40:01Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Beef&Tomato Noodles (147g),No Variant,海底捞 · 番茄牛肉粉 (147g),2.5 CAD,2023-11-10T17:28:08Z,0
AVADA - Best Sellers,Haidilao,Haidilao ·  Hot and Spicy Dipping Sauce (120g),No Variant,海底捞 · 香辣味蘸料 (120g),1.2 CAD,2024-01-03T16:00:35Z,0
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,Milk Stick (380g),"乐锦记 · 面包系列, 奶香",N/A,2023-11-15T20:52:03Z,0
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,Cheese Stick (380g),"乐锦记 · 面包系列, 乳酪",N/A,2024-01-21T23:34:25Z,0
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,Cheese Rock Stick (320g),"乐锦记 · 面包系列, 岩烧乳酪棒",N/A,2023-11-15T20:52:03Z,0
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,Original Cube Raw Toast(320g),"乐锦记 · 面包系列, 原味魔方生吐司",N/A,2023-11-15T20:52:03Z,0
AVADA - Best Sellers,Happy Snail,Happy Snail · Extra Spicy River Snails Rice Noodle (400g),No Variant,好欢螺 · 加辣柳州螺蛳粉 (400g),3.5 CAD,2024-01-27T18:48:31Z,0
AVADA - Best Sellers,Happy Snail,Happy Snail · Crayfish River Snails Rice Noodle (320g),No Variant,好欢螺 · 小龙虾味螺蛳粉 (320g),3.5 CAD,2024-01-21T23:59:21Z,0
AVADA - Best Sellers,Heiwa,Heiwa · Yam Noodle (250g),No Variant,平和 · 魔芋结/魔芋结（250g）,N/A,2023-10-20T23:05:13Z,0
AVADA - Best Sellers,Hsufuchi,Hsufuchi · Assorted Nuts Crisp Candy (306g),No Variant,徐福记 · 酥心糖 (306g),4.5 CAD,2023-11-13T21:45:09Z,0
AVADA - Best Sellers,Indomie,Indomie · Original Mi Goreng Fried Noodles (5*85g),No Variant,营多面 · 原为炒面 (5*85g),N/A,2023-11-07T18:00:12Z,0
AVADA - Best Sellers,Iogo,Iogo · Random Flavor Probiotic Yogurt (4*100g),No Variant,,1.24 CAD,2023-11-07T01:03:32Z,0
AVADA - Best Sellers,JL,JL · Fried Gluten Ball (50g),No Variant,JL · 无锡清水油面筋 (50g),N/A,2023-11-27T00:19:35Z,0
AVADA - Best Sellers,Jin Mai Lang,Jin Mai Lang · Mushroom Chicken Noodle (5*130g),No Variant,今麦郎 · 蘑菇鸡汤面 (5*130g),N/A,2023-11-07T05:33:57Z,0
AVADA - Best Sellers,JinMaiLang,JinMaiLang · Pork BoneNoodle (5*130g),No Variant,今麦郎 · 日式猪骨汤面 (5*130g),N/A,2023-11-07T05:33:53Z,2
AVADA - Best Sellers,JinMaiLang,JinMaiLang · Sour & Spicy Pork Bone Noodle (5*130g),No Variant,今麦郎 · 酸辣猪骨汤面 (5*130g),N/A,2023-11-07T05:33:56Z,0
AVADA - Best Sellers,JinMaiLang,JinMaiLang · Seafood Noodle (5*130g),No Variant,今麦郎 · 海鲜汤面 (5*130g),N/A,2023-11-07T05:33:54Z,0
AVADA - Best Sellers,La Fournee Doree,La Fournee Doree · Burger Bun (4*50g),No Variant,,2.83 CAD,2023-11-07T00:48:00Z,0
AVADA - Best Sellers,Lai Yi Fen,Lai Yi Fen · Squid Roll (188g),No Variant,来伊份 · 海鲜味鱿鱼卷 (188g),3.5 CAD,2023-11-14T02:47:42Z,4
AVADA - Best Sellers,Lam Sheng Kee,Lam Sheng Kee · Crispy Fish Skin (80g),No Variant,林生记 · 火锅炸鱼皮（80g）,N/A,2023-10-20T23:09:39Z,0
AVADA - Best Sellers,Lesu,Lesu · Tofu (250g),No Variant,乐素 · 蒟蒻豆腐 (250g),1.8 CAD,2023-12-09T07:59:24Z,0
AVADA - Best Sellers,Lesu,Lesu · Large Konjac Shirataki Knots (280g),No Variant,乐素 · 魔芋大结 (280g),1.8 CAD,2023-12-09T07:53:47Z,0
AVADA - Best Sellers,LianXiang,LianXiang · Cooked Salted Duck Eggs (6*60g),No Variant,莲香 · 熟红心咸蛋 (6*60g),N/A,2023-11-01T02:48:48Z,0
AVADA - Best Sellers,Liberte,Liberte · 2% Nature PlainGreek Yogurt (1 kg),No Variant,,3.5 CAD,2023-11-07T00:44:43Z,0
AVADA - Best Sellers,Liu Bi Ju,Liu Bi Ju · Sesame Sauce (300g),No Variant,六必居 · 花生芝麻酱 (300g),2.5 CAD,2024-02-04T03:48:32Z,3
AVADA - Best Sellers,Lonely God,Lonely God · Vegetable Flavour Potato Twists (70g),No Variant,浪味仙 · 田园蔬菜薯卷 (70g),N/A,2023-12-01T09:15:07Z,0
AVADA - Best Sellers,Lucky Pearl,Lucky Pearl · Shandong Dry Noodles (4lb),No Variant,皇珠 · 山东拉面 (4lb),4.0 CAD,2024-01-06T05:44:28Z,0
AVADA - Best Sellers,Lucky Pearl,Lucky Pearl · Dry Soba Noodles (4lb),No Variant,皇珠 · 荞麦面 (4lb),4.0 CAD,2024-01-06T05:55:42Z,0
AVADA - Best Sellers,LuoBaWang,LuoBaWang · Tomato Flavor River Snails Rice Noodle (280g),No Variant,螺霸王 · 番茄味螺狮粉 (280g),N/A,2023-11-07T05:34:45Z,0
AVADA - Best Sellers,LuoBaWang,LuoBaWang · Rice Noodles (310g),No Variant,螺霸王 · 肥汁米线 (310g),1.8 CAD,2023-12-07T02:38:32Z,0
AVADA - Best Sellers,MPP,MPP · Fermented Glutinous Rice (900g),No Variant,米婆婆 · 米酒（900g）,N/A,2023-12-12T22:27:43Z,0
AVADA - Best Sellers,Mahanakorn,Mahanakorn · Jasmine Rice (5KG),No Variant,,N/A,2023-11-10T01:54:34Z,0
AVADA - Best Sellers,Manxiaobao,Manxiaobao · Rainbow Family Portrait (2.5kg),No Variant,满小饱 · 彩虹全家福 (2.5kg),36.0 CAD,2023-12-22T19:23:38Z,0
AVADA - Best Sellers,Maple Leaf,Maple Leaf · Natural Selections Sliced Turkey Breast (300g),No Variant,,7.0 CAD,2023-11-07T01:23:52Z,3
AVADA - Best Sellers,Master Kong,Master Kong · Soup Master Tomato Flavor With Stewed Beef Brisket Instant Noodles (5*119g),No Variant,"方便面, 康师傅 · 汤大师精炖番茄牛腩面 (5*119g)",6.0 CAD,2024-01-09T08:33:40Z,4
AVADA - Best Sellers,Master Kong,Master Kong · Tomato Egg Beef Noodles (163g),No Variant,康师傅 · 番茄鸡蛋牛肉面 (163g),2.0 CAD,2024-01-06T05:06:06Z,1
AVADA - Best Sellers,Master Kong,Master Kong · YBB Spicy Beef Flavored Instant Noodles (5*128g),No Variant,康师傅 · 一倍半五连包香辣牛肉面 (5*128g),3.5 CAD,2024-01-31T09:20:33Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Rattan Pepper Beef Instant Noodle (5*103g),No Variant,"方便面, 康师傅 · 藤椒牛肉面量贩装 (5*103g)",5.0 CAD,2024-01-09T09:09:41Z,0
AVADA - Best Sellers,Master Kong,Master Kong · YBB Braised Beef Flavored Instant Noodles (5*129g),No Variant,康师傅 · 一倍半五连包红烧牛肉面 (5*129g),3.5 CAD,2024-01-31T09:18:16Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Hot & Sour Beef Instant Noodles (5*161g),No Variant,"方便面, 康师傅 · 大食袋老陈醋酸辣牛肉面 (5*161g)",5.0 CAD,2024-01-31T09:05:05Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Soup Master Scallop Pork Ribs Instant Noodles (5*112g),No Variant,"方便面, 康师傅 · 汤大师上汤瑶柱排骨面 (5*112g)",6.0 CAD,2024-01-09T08:20:55Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Seafood Instant Noodles (5*139g),No Variant,"方面面, 康师傅 · 大食袋鲜虾鱼板面 (5*139g)",5.0 CAD,2024-01-09T07:56:24Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Soup Bag Golden Soup Beef Noodles (122g*5),No Variant,康师傅 · 高汤袋金汤肥牛面 (122g*5),4.5 CAD,2024-01-06T05:25:45Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Spicy Braised Beef Big Instant Noodle (5*144g),No Variant,康师傅 · 大食袋香辣牛肉面 (5*144g),5.0 CAD,2023-12-27T19:56:19Z,4
AVADA - Best Sellers,Master Kong,Master Kong · Mushroom & Chicken Instant Noodle (5*104g),No Variant,康师傅 · 香菇炖鸡面 (5*104g),N/A,2023-12-27T19:54:46Z,1
AVADA - Best Sellers,Master Kong,Master Kong · Spicy Braised Beef Instant Noodle (5*104g),No Variant,康师傅 · 香辣牛肉面 (5*104g),N/A,2023-11-07T05:33:49Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Braised Beef Instant Noodle (5*104g),No Variant,康师傅 · 红烧牛肉面 (5*104g),N/A,2023-12-27T19:53:52Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Seafood Instant Noodle (5*104g),No Variant,康师傅 · 鲜虾鱼板味方便面 (5*104g),N/A,2024-02-09T05:36:50Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Scallion Pork Ribs Instant Noodle (5*145g),No Variant,康师傅 · 大食袋葱香排骨面 (5*145g),5.0 CAD,2023-12-27T19:56:01Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Marinade Beef Instant Noodle (5*104g),No Variant,康师傅 · 卤香牛肉面 (5*104g),N/A,2023-12-27T19:54:31Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Spicy Beef Instant Noodles (143g),No Variant,康师傅 · 大食桶香辣牛肉方便面 (143g),2.0 CAD,2023-12-16T22:53:06Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Jin Tang Fat Beef Instant Noodles (146g),No Variant,康师傅 · 大食桶金汤肥牛方便面 (146g),2.0 CAD,2023-12-16T22:56:19Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Lao Tan Pickled Cabbage Instant Noodles (159g),No Variant,康师傅 · 大食桶老坛酸菜方便面 (159g),2.0 CAD,2023-12-16T22:38:08Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Braised Beef Instant Noodles (143g),No Variant,康师傅 · 大食桶红烧牛肉方便面 (143g),2.0 CAD,2023-12-16T22:50:45Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Vine Pepper Beef Noodles (140g),No Variant,康师傅 · 藤椒牛肉面 (140g),2.0 CAD,2024-01-06T05:08:56Z,4
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Sour and Spicy Beef Noodle Soup (5*149g),No Variant,康师傅 · 大食袋酸爽金汤肥牛面 (5*149g),5.0 CAD,2023-12-18T23:02:15Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Beef Tomato Noodles(5*162g),No Variant,康师傅 · 大食袋牛肉番茄面 (5*162g),5.0 CAD,2023-12-18T22:59:04Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Braised Beef Instant Cup Noodle (110g),No Variant,康师傅 · 红烧牛肉桶装面 (110g),N/A,2023-11-22T00:19:26Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Gold Stock Beef Noodle (5*108g),No Variant,康师傅 · 金汤肥牛面 (5*108g),4.5 CAD,2023-12-27T19:54:12Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),Purple Grape Oolong,"奈雪 · 果汁茶系列 (450ml), 葡萄乌龙",1.5 CAD,2023-11-08T23:42:02Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),Green Grape Oolong,"奈雪 · 果汁茶系列 (450ml), 青提乌龙",1.5 CAD,2023-11-08T23:42:02Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),Peach Oolong,"奈雪 · 果汁茶系列 (450ml), 蜜桃乌龙",1.5 CAD,2023-11-08T23:42:02Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),Lychee Black Tea,"奈雪 · 果汁茶系列 (450ml), 荔枝红茶",1.5 CAD,2023-11-08T23:42:02Z,4
AVADA - Best Sellers,Nan,Nan · Yellow Rock Sugar (454g),No Variant,南字 · 黄冰糖 (454g),N/A,2023-11-17T23:57:53Z,4
AVADA - Best Sellers,NanFang,NanFang · Original Black Sesame Paste,No Variant,南方 · 黑芝麻糊 ,N/A,2023-10-27T23:59:01Z,0
AVADA - Best Sellers,NanFang,NanFang · No Sugar Black Sesame Paste,No Variant,南方 · 无糖黑芝麻糊 ,N/A,2023-10-27T23:59:56Z,0
AVADA - Best Sellers,Natrel,Natrel · 2% Lactose Free Milk  (2L),No Variant,,4.85 CAD,2023-11-07T01:09:57Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Chapagetti Jjajang Noodle (4*127g),No Variant,农心 · 炸酱面 (4*127g),N/A,2023-11-07T05:34:08Z,4
AVADA - Best Sellers,Nongshim,Nongshim · KamjaTangMyum Rich Potato Noodle (5*120g),No Variant,农心 · 番茄马铃薯拉面(5*120g),N/A,2023-11-07T05:34:28Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Noodle Salad Sesame Vinaigrette Noodle (4*148g),No Variant,农心 · 芝麻油醋沙拉面条（4*148g）,N/A,2023-11-07T05:34:21Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Korean Clay Pot Ramyun (5*120g),No Variant,农心 · 石锅拉面(5*120g),N/A,2023-11-07T05:34:33Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Kimchi Ramen (5*120g),No Variant,农心 · 辣白菜面(5*120g),N/A,2023-11-07T05:34:34Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Shrimp Flavor Shin Ramyun (5*120g),No Variant,农心 · 虾味辛拉面（5*120g）,N/A,2023-11-07T05:34:35Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Budae jjigae Noodle Soup Spicy Ramen (4*127g),No Variant,三养 · 部队锅拉面 （4*127g）,N/A,2023-11-07T05:34:29Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Neoguri Udon Type Noodle  (5*120g),No Variant,农心 · 乌冬面(5*120g),N/A,2023-11-07T05:34:26Z,0
AVADA - Best Sellers,Nongshim,Nongshim ·  Shin Ramyun (5*120g),No Variant,农心 · 经典辛拉面（5*120g）,N/A,2023-11-07T05:34:37Z,0
AVADA - Best Sellers,Nongshim,Nongshim ·  Shin Ramyun Cup Noodles (75g),No Variant,农心 · 辛拉面杯面 (75g),N/A,2023-11-05T23:35:25Z,3
AVADA - Best Sellers,Oakrun Farm Bakery,Oakrun Farm Bakery · English Muffin (6*56g),No Variant,,1.37 CAD,2023-11-07T00:48:39Z,0
AVADA - Best Sellers,Ottogi,Ottogi · Mild Jin Ramen (4*120g),No Variant,奥多吉 · 真拉面 (4*120g),N/A,2023-11-07T05:34:04Z,1
AVADA - Best Sellers,Ottogi,Ottogi · Spicy Seafood Flavor BEIJING Jjajang Ramen (5*120g),No Variant,奥多吉 · 辣海鲜味北京炸酱面 (5*120g),N/A,2023-11-07T05:33:53Z,1
AVADA - Best Sellers,Ottogi,Ottogi ·  Smoked Black Bean Flavor Jin Jjajang (4*120g）,No Variant,奥多吉 · 烟熏黑豆真炸酱面 (4*120g),N/A,2023-11-07T05:34:01Z,5
AVADA - Best Sellers,Ottogi,Ottogi · Veggie Jin Ramen (4*120g),No Variant,奥多吉 · 素食真拉面 (4*120g),6.42 CAD,2023-11-07T05:34:03Z,2
AVADA - Best Sellers,Ottogi,Ottogi · Hot Yeul Ramen (5*120g),No Variant,奥多吉 · 热辣辣面 (5*120g),N/A,2023-11-07T05:33:59Z,0
AVADA - Best Sellers,Ottogi,Ottogi · Sesame Flavor Ramen (5*115g),No Variant,奥多吉 · 海鲜风味拉面 (5*115g),N/A,2023-11-07T05:33:55Z,0
