Collection,Company,Product,Variant,Translations,Unit Cost,Updated At,Inventory Quantity
AVADA - Best Sellers,BaiXiang,BaiXiang · Signature Pork Bone Flavor Instant Noodles (111g*5),,白象 · 招牌猪骨味方便面 (111g*5),4.5 CAD,2023-12-09T09:54:19Z,0
AVADA - Best Sellers,BaiXiang,BaiXiang · Braised Beef Noodles (120g*5),,白象 · 红烧牛肉面 （120g*5),N/A,2023-12-24T22:51:10Z,0
AVADA - Best Sellers,Baijia,Baijia · Seasame Flavor Instant Vermicelli (500g),,白家 · 嗦粉大将麻酱粉 (400g),4.5 CAD,2023-12-09T08:35:31Z,3
AVADA - Best Sellers,Baijia,Baijia · Hot and Sour Flavor Instant Vermicelli (440g),,白家 · 嗦粉大将酸辣粉 (440g),4.5 CAD,2023-12-09T08:43:43Z,0
AVADA - Best Sellers,BaoXiaFan,BaoXiaFan · Chopped Pepper Sauce(200g),,暴下饭 · 剁椒酱 (200g),N/A,2023-12-27T20:22:37Z,0
AVADA - Best Sellers,Beatrice,Beatrice · 2% Chocolate Milk (2L),,Beatrice · 2% 巧克力奶 (2L),4.39 CAD,2023-12-27T20:23:10Z,0
AVADA - Best Sellers,Bestore,Bestore · Seaweed Flakes For Mixed Rice (72g),,良品铺子 · 拌饭海苔碎 (72g),4.5 CAD,2023-12-27T20:24:40Z,0
AVADA - Best Sellers,Bull Head,Bull Head · Sha Cha Sauce (127g),,牛头牌 · 沙茶酱（127g）,N/A,2023-12-27T20:30:12Z,0
AVADA - Best Sellers,CBL,CBL · Sweet Bean Paste (800g),,葱伴侣 · 甜面酱 (800g),3.5 CAD,2023-12-27T20:33:06Z,4
AVADA - Best Sellers,CBL,CBL · DaJiang Soybean Paste (800g),,葱伴侣 · 大酱 (800g),3.5 CAD,2023-12-27T20:32:24Z,1
AVADA - Best Sellers,CBL,CBL · MianJiang Soybean Paste (800g),,葱伴侣 · 面酱 (800g),3.5 CAD,2023-12-27T20:32:37Z,4
AVADA - Best Sellers,Calbee,Calbee · Fruit Oatmeal (750g),,卡乐比 · 营养早餐麦片 (750g),N/A,2023-12-27T20:30:27Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,,超友味 · 剥皮水果软糖系列,1.5 CAD,2023-12-27T20:36:15Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,,超友味 · 剥皮水果软糖系列,1.5 CAD,2023-12-27T20:36:15Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,,超友味 · 剥皮水果软糖系列,1.5 CAD,2023-12-27T20:35:41Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,,超友味 · 剥皮水果软糖系列,1.5 CAD,2023-12-27T20:35:41Z,0
AVADA - Best Sellers,Chao You Wei,Chao You Wei · Skin-Off Fruit Soft Sweets Series,,超友味 · 剥皮水果软糖系列,1.5 CAD,2023-12-27T20:35:41Z,0
AVADA - Best Sellers,ChungJungOne,ChungJungOne · Premium Pork Canned Meat (340g),,清净园 · 优质午餐肉罐头 (340g),N/A,2023-12-27T20:42:59Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · Chili Dipping Sauce (10*10g),,翠宏 · 香辣蘸料（10*10g）,N/A,2023-12-27T20:46:43Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · 6+1 Chili Dipping Sauce (100g),,翠宏 · 麻辣6+1蘸水（100g）,N/A,2023-12-27T20:46:28Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · Old Style Chili Dipping Sauce (10*10g),,翠宏 · 老味干碟（10*10g）,N/A,2023-12-27T20:47:28Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · Red Oil Chili Powder 1：10 (100g),,翠宏 · 红油辣椒面1：10（100g）,N/A,2023-12-27T20:47:43Z,0
AVADA - Best Sellers,Cui Hong,Cui Hong · 2 in 1 BBQ Seasoning (200g),,翠宏 · 烧烤二合一调味料（200g）,N/A,2023-12-27T20:46:15Z,0
AVADA - Best Sellers,Dan'd,Dan'd · Organic Chestnuts (100g),,Dan'd · 即食有机板栗 (100g),N/A,2023-12-27T20:55:59Z,0
AVADA - Best Sellers,Dempster’s,Dempster’s · Whole Wheat Bread (675g),,登普斯特 · 全麦面包 (675g),1.66 CAD,2023-12-27T20:57:34Z,0
AVADA - Best Sellers,Dempster’s,Dempster’s · White Bread (675g),,登普斯特 · 白面包 (675g),1.66 CAD,2023-12-27T20:57:50Z,0
AVADA - Best Sellers,Dettol,Dettol · Lavender Laundry Sanitizer (1.5L),,滴露 · 薰衣草味衣物除菌液 (1.5L),11.5 CAD,2023-12-27T20:59:02Z,1
AVADA - Best Sellers,Dom,Dom · Reserved Smoked Salmon (1*75g),,多姆 · 预留烟熏三文鱼（1*75g）,2.99 CAD,2023-12-27T21:02:19Z,0
AVADA - Best Sellers,DongGanDiDai,DongGanDiDai · Shrimp Balls With Lava Salted Egg Yolk (200g),,冻感地带 · 咸蛋流沙虾滑丸 (200g),4.5 CAD,2023-12-27T21:03:15Z,0
AVADA - Best Sellers,DongLaiShun,DongLaiShun · Sesame Peanut Flavor Hot Pot Dipping Sauce (168g),,东来顺 · 芝麻花生酱 (168g),2.3 CAD,2023-12-10T00:41:11Z,0
AVADA - Best Sellers,EB,EB · Ring Roll (96g),,EB · 三秒玲玲卷 (96g),2.4 CAD,2023-12-02T03:45:29Z,0
AVADA - Best Sellers,EB,EB · Lobster Ball (500g),,EB · 龙虾球（500g）,4.6 CAD,2023-12-27T21:06:28Z,0
AVADA - Best Sellers,EB,EB · Flower Cheese Tofu (380g),,EB · 芝芯豆腐 (380g),4.0 CAD,2023-12-16T04:42:48Z,0
AVADA - Best Sellers,EB,EB · Steamboat 5 in 1 (500g),,EB · 火锅五宝 (500g),4.9 CAD,2023-12-27T21:07:33Z,0
AVADA - Best Sellers,EB,EB · Fish Roe Lucky Bag (150g),,EB · 鱼籽福袋 (150g),4.1 CAD,2023-12-27T21:05:06Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:12:05Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:12:05Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:11:33Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:11:06Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:10:47Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:10:28Z,0
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:10:10Z,2
AVADA - Best Sellers,Fan Sao Guang,Fan Sao Guang · Sauce For Mixed Rice Series (280g),,饭扫光 · 拌饭酱系列 (280g),2.3 CAD,2023-12-27T21:09:54Z,0
AVADA - Best Sellers,Fang Zhong Shan,Fang Zhong Shan · Spicy Soup With Pepper Series,,,3.5 CAD,2023-11-08T23:14:23Z,5
AVADA - Best Sellers,Fang Zhong Shan,Fang Zhong Shan · Spicy Soup With Pepper Series,,,3.5 CAD,2023-11-08T23:14:23Z,0
AVADA - Best Sellers,Fang Zhong Shan,Fang Zhong Shan · Spicy Soup With Pepper Series,,,3.5 CAD,2023-11-08T23:14:23Z,0
AVADA - Best Sellers,GHCJ,GHCJ · Two-Flavor Hot Pot (30cm),,广海 · 鸳鸯锅 (30cm),N/A,2023-11-17T04:25:06Z,1
AVADA - Best Sellers,Goosun,Goosun · Preserved Duck Eggs (6*62.5g),,光明 · 无铅海鸭皮蛋 (6*62.5g),N/A,2023-11-01T02:53:53Z,0
AVADA - Best Sellers,HST,HST · Honey Tea Series (500g),,恒寿堂 · 蜜炼茶系列 (500g),N/A,2023-10-31T11:22:44Z,0
AVADA - Best Sellers,HST,HST · Honey Tea Series (500g),,恒寿堂 · 蜜炼茶系列 (500g),6.99 CAD,2023-10-31T11:22:45Z,0
AVADA - Best Sellers,HST,HST · Honey Tea Series (500g),,恒寿堂 · 蜜炼茶系列 (500g),6.99 CAD,2023-10-31T11:22:45Z,0
AVADA - Best Sellers,Haday,Haday · Soybean Paste (800g),,海天 · 黄豆酱 (800g),4.0 CAD,2024-01-31T08:30:39Z,5
AVADA - Best Sellers,Haday,Haday ·  Hot Soybean Paste (800g),,海天 · 辣黄豆酱 (800g),4.0 CAD,2024-01-31T08:31:20Z,5
AVADA - Best Sellers,HaiDiLao,HaiDiLao ·  Hot and Spicy Dipping Sauce (100g),,海底捞 ·  麻辣味火锅蘸料 (100g),1.2 CAD,2024-01-08T02:57:26Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Sesame Paste Noodles (140g),,海底捞 · 麻酱粉 (140g),2.5 CAD,2023-11-13T22:43:02Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Sour Soup Noodles (130g),,海底捞 · 酸汤粉 (130g),2.5 CAD,2023-11-13T22:48:28Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Sour Soup Beef Noodles (140g),,海底捞 · 酸汤肥牛粉 (140g),2.5 CAD,2023-11-13T22:58:30Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao ·  Tomato Noodles (122g),,海底捞 · 番茄粉 (122g),2.5 CAD,2023-11-13T22:46:49Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Spicy&Sour Beef Tripe Noodles (160g),,海底捞 · 酸辣牛肚粉 (160g),2.5 CAD,2023-11-10T17:40:01Z,0
AVADA - Best Sellers,HaiDiLao,HaiDiLao · Beef&Tomato Noodles (147g),,海底捞 · 番茄牛肉粉 (147g),2.5 CAD,2023-11-10T17:28:08Z,0
AVADA - Best Sellers,Haidilao,Haidilao · Sichuan Noodle (200g),,海底捞 · 火锅宽粉 (200g),1.5 CAD,2024-02-03T22:48:49Z,0
AVADA - Best Sellers,Haidilao,Haidilao ·  Hot and Spicy Dipping Sauce (120g),,海底捞 · 香辣味蘸料 (120g),1.2 CAD,2024-01-03T16:00:35Z,0
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,,乐锦记 · 面包系列,N/A,2023-11-15T20:52:03Z,0
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,,乐锦记 · 面包系列,N/A,2024-01-21T23:34:25Z,2
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,,乐锦记 · 面包系列,N/A,2023-11-15T20:52:03Z,2
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,,乐锦记 · 面包系列,N/A,2023-11-15T20:52:03Z,0
AVADA - Best Sellers,Happy Rich Symbol,Happy Rich Symbol · Bread Series,,乐锦记 · 面包系列,N/A,2023-11-15T20:52:03Z,0
AVADA - Best Sellers,Happy Snail,Happy Snail · Extra Spicy River Snails Rice Noodle (400g),,好欢螺 · 加辣柳州螺蛳粉 (400g),3.5 CAD,2024-01-27T18:48:31Z,0
AVADA - Best Sellers,Happy Snail,Happy Snail · Crayfish River Snails Rice Noodle (320g),,好欢螺 · 小龙虾味螺蛳粉 (320g),3.5 CAD,2024-01-21T23:59:21Z,0
AVADA - Best Sellers,Holiday,Holiday · Pork Canned Meat (340g),,假日 · 午餐肉罐头 (340g),N/A,2023-10-31T09:01:10Z,5
AVADA - Best Sellers,Hsufuchi,Hsufuchi · Assorted Nuts Crisp Candy (306g),,徐福记 · 酥心糖 (306g),4.5 CAD,2023-11-13T21:45:09Z,0
AVADA - Best Sellers,Indomie,Indomie · Original Mi Goreng Fried Noodles (5*85g),,营多面 · 原为炒面 (5*85g),N/A,2023-11-07T18:00:12Z,0
AVADA - Best Sellers,Iogo,Iogo · Random Flavor Probiotic Yogurt (4*100g),,,1.24 CAD,2023-11-07T01:03:32Z,0
AVADA - Best Sellers,JC Brand,JC Brand · Chili Fermented Bean Curd (1.2kg),,鹃城牌 · 红油郫县豆瓣酱（500g）,N/A,2023-11-04T01:44:33Z,3
AVADA - Best Sellers,JL,JL · Fried Gluten Ball (50g),,JL · 无锡清水油面筋 (50g),N/A,2023-11-27T00:19:35Z,0
AVADA - Best Sellers,Jalpullineunjib,Jalpullineunjib · 3 Layers Premium Toilet Paper (30m*30 Rolls),,Jalpullineunjib · 高级三层超厚卫生纸 (30m*30卷),28.0 CAD,2024-01-28T05:01:21Z,1
AVADA - Best Sellers,Jin Mai Lang,Jin Mai Lang · Mushroom Chicken Noodle (5*130g),,今麦郎 · 蘑菇鸡汤面 (5*130g),N/A,2023-11-07T05:33:57Z,0
AVADA - Best Sellers,JinMaiLang,JinMaiLang · Pork BoneNoodle (5*130g),,今麦郎 · 日式猪骨汤面 (5*130g),N/A,2023-11-07T05:33:53Z,0
AVADA - Best Sellers,JinMaiLang,JinMaiLang · Sour & Spicy Pork Bone Noodle (5*130g),,今麦郎 · 酸辣猪骨汤面 (5*130g),N/A,2023-11-07T05:33:56Z,0
AVADA - Best Sellers,JinMaiLang,JinMaiLang · Seafood Noodle (5*130g),,今麦郎 · 海鲜汤面 (5*130g),N/A,2023-11-07T05:33:54Z,0
AVADA - Best Sellers,La Fournee Doree,La Fournee Doree · Burger Bun (4*50g),,,2.83 CAD,2023-11-07T00:48:00Z,0
AVADA - Best Sellers,Lai Yi Fen,Lai Yi Fen · Squid Roll (188g),,来伊份 · 海鲜味鱿鱼卷 (188g),3.5 CAD,2023-11-14T02:47:42Z,0
AVADA - Best Sellers,Lam Sheng Kee,Lam Sheng Kee · Crispy Fish Skin (80g),,林生记 · 火锅炸鱼皮（80g）,N/A,2023-10-20T23:09:39Z,0
AVADA - Best Sellers,Lesu,Lesu · Tofu (250g),,乐素 · 蒟蒻豆腐 (250g),1.8 CAD,2023-12-09T07:59:24Z,0
AVADA - Best Sellers,Lesu,Lesu · Large Konjac Shirataki Knots (280g),,乐素 · 魔芋大结 (280g),1.8 CAD,2023-12-09T07:53:47Z,0
AVADA - Best Sellers,LianXiang,LianXiang · Cooked Salted Duck Eggs (6*60g),,莲香 · 熟红心咸蛋 (6*60g),N/A,2023-11-01T02:48:48Z,0
AVADA - Best Sellers,Liberte,Liberte · 2% Nature PlainGreek Yogurt (1 kg),,,3.5 CAD,2023-11-07T00:44:43Z,0
AVADA - Best Sellers,Little Sheep,Little Sheep · Original Flavor Hot Pot Dipping Sauce (140g),,小肥羊 · 清香味火锅蘸料 (140g),N/A,2024-01-15T14:06:19Z,1
AVADA - Best Sellers,Liu Bi Ju,Liu Bi Ju · Sesame Sauce (300g),,六必居 · 花生芝麻酱 (300g),2.5 CAD,2024-02-04T03:48:32Z,0
AVADA - Best Sellers,LiuQuan,LiuQuan · Premium Package River Snails Rice Noodle (370g),,,2.5 CAD,2024-03-07T19:10:17Z,0
AVADA - Best Sellers,LiuQuan,LiuQuan · River Snails Rice Noodle (2*268g),,柳全 · 螺蛳粉 (2*268g),N/A,2024-03-09T00:38:43Z,0
AVADA - Best Sellers,Lonely God,Lonely God · Vegetable Flavour Potato Twists (70g),,浪味仙 · 田园蔬菜薯卷 (70g),N/A,2023-12-01T09:15:07Z,0
AVADA - Best Sellers,Lucky Pearl,Lucky Pearl · Shandong Dry Noodles (4lb),,皇珠 · 山东拉面 (4lb),4.0 CAD,2024-01-06T05:44:28Z,0
AVADA - Best Sellers,Lucky Pearl,Lucky Pearl · Dry Soba Noodles (4lb),,皇珠 · 荞麦面 (4lb),4.0 CAD,2024-01-06T05:55:42Z,0
AVADA - Best Sellers,LuoBaWang,LuoBaWang · River Snails Rice Noodle (280g),,螺霸王 · 螺狮粉 (280g),N/A,2024-01-08T03:45:02Z,0
AVADA - Best Sellers,LuoBaWang,LuoBaWang · Tomato Flavor River Snails Rice Noodle (280g),,螺霸王 · 番茄味螺狮粉 (280g),N/A,2023-11-07T05:34:45Z,0
AVADA - Best Sellers,LuoXiaoJiang,LuoXiaoJiang · Classic River Snails Rice Noodle(315g),,,2.5 CAD,2024-02-24T06:47:28Z,5
AVADA - Best Sellers,MPP,MPP · Fermented Glutinous Rice (900g),,米婆婆 · 米酒（900g）,N/A,2023-12-12T22:27:43Z,0
AVADA - Best Sellers,Mahanakorn,Mahanakorn · Jasmine Rice (5KG),,,N/A,2023-11-10T01:54:34Z,0
AVADA - Best Sellers,Manxiaobao,Manxiaobao · Rainbow Family Portrait (2.5kg),,满小饱 · 彩虹全家福 (2.5kg),36.0 CAD,2023-12-22T19:23:38Z,0
AVADA - Best Sellers,Maple Leaf,Maple Leaf · Natural Selections Sliced Turkey Breast (300g),,,7.0 CAD,2023-11-07T01:23:52Z,3
AVADA - Best Sellers,Master Kong,Master Kong · Soup Master Stewed Chicken With Wolfberry Fish Maw Instant Noodles (5*110g),,"方便面 , 康师傅 · 汤大师枸杞花胶炖鸡面 (5*110g)",6.0 CAD,2024-01-09T08:27:47Z,4
AVADA - Best Sellers,Master Kong,Master Kong · Hot & Sour Beef Instant Noodles (5*117g),,康师傅 · 、老陈醋酸辣牛肉面量贩装 (5*117g),3.5 CAD,2024-03-22T01:00:39Z,3
AVADA - Best Sellers,Master Kong,Master Kong · Soup Master Tomato Flavor With Stewed Beef Brisket Instant Noodles (5*119g),,"方便面, 康师傅 · 汤大师精炖番茄牛腩面 (5*119g)",6.0 CAD,2024-01-09T08:33:40Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Tomato Egg Beef Instant Noodle (5*115g),,"方便面, 康师傅 · 番茄鸡蛋牛肉面量贩装 (5*115g)",5.0 CAD,2024-01-09T08:51:33Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Scallion Pork Ribs Instant Noodle (5*104g),,康师傅 · 葱香排骨面量贩装 (5*104g),N/A,2024-03-22T01:06:08Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Japanese Pork Bone Instant Noodle (5*115g),,"方便面, 康师傅 · 日式豚骨面量贩装 (5*115g)",5.0 CAD,2024-01-09T08:47:00Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Tomato Egg Beef Noodles (163g),,康师傅 · 番茄鸡蛋牛肉面 (163g),2.0 CAD,2024-01-06T05:06:06Z,0
AVADA - Best Sellers,Master Kong,Master Kong · YBB Spicy Beef Flavored Instant Noodles (5*128g),,康师傅 · 一倍半五连包香辣牛肉面 (5*128g),3.5 CAD,2024-01-31T09:20:33Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Rattan Pepper Beef Instant Noodle (5*103g),,"方便面, 康师傅 · 藤椒牛肉面量贩装 (5*103g)",5.0 CAD,2024-01-09T09:09:41Z,0
AVADA - Best Sellers,Master Kong,Master Kong · YBB Braised Beef Flavored Instant Noodles (5*129g),,康师傅 · 一倍半五连包红烧牛肉面 (5*129g),3.5 CAD,2024-01-31T09:18:16Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Hot & Sour Beef Instant Noodles (5*161g),,"方便面, 康师傅 · 大食袋老陈醋酸辣牛肉面 (5*161g)",5.0 CAD,2024-01-31T09:05:05Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Soup Master Scallop Pork Ribs Instant Noodles (5*112g),,"方便面, 康师傅 · 汤大师上汤瑶柱排骨面 (5*112g)",6.0 CAD,2024-01-09T08:20:55Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Seafood Instant Noodles (5*139g),,"方面面, 康师傅 · 大食袋鲜虾鱼板面 (5*139g)",5.0 CAD,2024-01-09T07:56:24Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Soup Bag Golden Soup Beef Noodles (122g*5),,康师傅 · 高汤袋金汤肥牛面 (122g*5),4.5 CAD,2024-01-06T05:25:45Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Sauerkraut Beef Big Instant Noodle (5*162g),,康师傅 · 大食袋老坛酸菜牛肉面 (5*162g),5.0 CAD,2023-12-27T19:55:23Z,3
AVADA - Best Sellers,Master Kong,Master Kong · Spicy Braised Beef Instant Noodle (5*104g),,康师傅 · 香辣牛肉面 (5*104g),N/A,2023-11-07T05:33:49Z,1
AVADA - Best Sellers,Master Kong,Master Kong · Marinade Beef Instant Noodle (5*104g),,康师傅 · 卤香牛肉面 (5*104g),N/A,2023-12-27T19:54:31Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Pickled Pepper Beef Big Instant Noodle (5*148g),,康师傅 · 大食袋泡椒牛肉面 (5*148g),5.0 CAD,2023-12-27T19:55:03Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Spicy Braised Beef Big Instant Noodle (5*144g),,康师傅 · 大食袋香辣牛肉面 (5*144g),5.0 CAD,2023-12-27T19:56:19Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Seafood Instant Noodle (5*104g),,康师傅 · 鲜虾鱼板味方便面 (5*104g),N/A,2024-02-09T05:36:50Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Scallion Pork Ribs Instant Noodle (5*145g),,康师傅 · 大食袋葱香排骨面 (5*145g),5.0 CAD,2023-12-27T19:56:01Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Spicy Beef Instant Noodles (143g),,康师傅 · 大食桶香辣牛肉方便面 (143g),2.0 CAD,2023-12-16T22:53:06Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Jin Tang Fat Beef Instant Noodles (146g),,康师傅 · 大食桶金汤肥牛方便面 (146g),2.0 CAD,2023-12-16T22:56:19Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Lao Tan Pickled Cabbage Instant Noodles (159g),,康师傅 · 大食桶老坛酸菜方便面 (159g),2.0 CAD,2023-12-16T22:38:08Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Bowl Braised Beef Instant Noodles (143g),,康师傅 · 大食桶红烧牛肉方便面 (143g),2.0 CAD,2023-12-16T22:50:45Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Vine Pepper Beef Noodles (140g),,康师傅 · 藤椒牛肉面 (140g),2.0 CAD,2024-01-06T05:08:56Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Sour and Spicy Beef Noodle Soup (5*149g),,康师傅 · 大食袋酸爽金汤肥牛面 (5*149g),5.0 CAD,2023-12-18T23:02:15Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Big Eat Bag Beef Tomato Noodles(5*162g),,康师傅 · 大食袋牛肉番茄面 (5*162g),5.0 CAD,2023-12-18T22:59:04Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Braised Beef Instant Cup Noodle (110g),,康师傅 · 红烧牛肉桶装面 (110g),N/A,2023-11-22T00:19:26Z,0
AVADA - Best Sellers,Master Kong,Master Kong · Gold Stock Beef Noodle (5*108g),,康师傅 · 金汤肥牛面 (5*108g),4.5 CAD,2023-12-27T19:54:12Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),,奈雪 · 果汁茶系列 (450ml),1.5 CAD,2023-11-08T23:42:02Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),,奈雪 · 果汁茶系列 (450ml),1.5 CAD,2023-11-08T23:42:02Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),,奈雪 · 果汁茶系列 (450ml),1.5 CAD,2023-11-08T23:42:02Z,0
AVADA - Best Sellers,Nai Xue,Nai Xue · Fruit Tea Series (450ml),,奈雪 · 果汁茶系列 (450ml),1.5 CAD,2023-11-08T23:42:02Z,0
AVADA - Best Sellers,NanFang,NanFang · Original Black Sesame Paste,,南方 · 黑芝麻糊 ,N/A,2023-10-27T23:59:01Z,0
AVADA - Best Sellers,NanFang,NanFang · No Sugar Black Sesame Paste,,南方 · 无糖黑芝麻糊 ,N/A,2023-10-27T23:59:56Z,0
AVADA - Best Sellers,Natrel,Natrel · 2% Lactose Free Milk  (2L),,,4.85 CAD,2023-11-07T01:09:57Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Chapagetti Jjajang Noodle (4*127g),,农心 · 炸酱面 (4*127g),N/A,2023-11-07T05:34:08Z,1
AVADA - Best Sellers,Nongshim,Nongshim · Mild Seafood Neoguri Udon Type Noodle ( 4*120g),,农心 · 微辣海鲜乌冬面（4*120g）,N/A,2023-11-07T05:34:23Z,2
AVADA - Best Sellers,Nongshim,Nongshim · KamjaTangMyum Rich Potato Noodle (5*120g),,农心 · 番茄马铃薯拉面(5*120g),N/A,2023-11-07T05:34:28Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Noodle Salad Sesame Vinaigrette Noodle (4*148g),,农心 · 芝麻油醋沙拉面条（4*148g）,N/A,2023-11-07T05:34:21Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Korean Clay Pot Ramyun (5*120g),,农心 · 石锅拉面(5*120g),N/A,2023-11-07T05:34:33Z,0
AVADA - Best Sellers,Nongshim,Nongshim · Shrimp Flavor Shin Ramyun (5*120g),,农心 · 虾味辛拉面（5*120g）,N/A,2023-11-07T05:34:35Z,0
